prompt_category,dataset_type_f,refusal_rate,n,instrumental,cat_label
civil_rights_liberties,Regular Prompts,0.03921947449768161,5176,FALSE,Civil rights / liberties
civil_rights_liberties,Boundary Prompts,0.05017367811655731,5182,FALSE,Civil rights / liberties
economic_policy,Regular Prompts,0.01776843714176538,5234,FALSE,Economic policy
economic_policy,Boundary Prompts,0.007636502481863307,5238,FALSE,Economic policy
environment_energy,Regular Prompts,0.009486999297259312,2846,FALSE,Environment / energy
environment_energy,Boundary Prompts,0.005960729312762973,2852,FALSE,Environment / energy
governance_democracy,Regular Prompts,0.07044899492767237,5323,FALSE,Governance / democracy
governance_democracy,Boundary Prompts,0.03435974464889223,5326,FALSE,Governance / democracy
migration_nationalism,Regular Prompts,0.016427889207258836,5235,FALSE,Migration / nationalism
migration_nationalism,Boundary Prompts,0.019889080130043986,5229,FALSE,Migration / nationalism
religion_state,Regular Prompts,0.032235294117647056,4250,FALSE,Religion / state
religion_state,Boundary Prompts,0.045155221072436504,4252,FALSE,Religion / state
security_conflict,Regular Prompts,0.1041705629324855,5347,TRUE,Security / conflict
security_conflict,Boundary Prompts,0.07109448082319925,5345,TRUE,Security / conflict
social_moral,Regular Prompts,0.022362869198312235,2370,FALSE,Social / moral
social_moral,Boundary Prompts,0.046413502109704644,2370,FALSE,Social / moral
territorial_sovereignty,Regular Prompts,0.049448384554767535,5076,TRUE,Territorial sovereignty
territorial_sovereignty,Boundary Prompts,0.06150206978119456,5073,TRUE,Territorial sovereignty
