grouping,group,jurisdiction,n_blocks,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,interpretation,canonical_run_id
model,allam-7b,MENA,624,-0.009615384615384477,-0.03647836538461531,0.016826923076923003,-0.9615384615384477,-3.647836538461531,1.6826923076923004,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,claude-opus-4.5,US,624,-0.02884615384615384,-0.04567307692307688,-0.014423076923076933,-2.884615384615384,-4.567307692307688,-1.4423076923076932,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,deepseek-chat-v3.1,CN,624,-0.040064102564102796,-0.0568910256410257,-0.024839743589743567,-4.0064102564102795,-5.68910256410257,-2.483974358974357,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,falcon3-10b,MENA,624,-0.05608974358974357,-0.07291666666666662,-0.03605769230769222,-5.608974358974357,-7.291666666666662,-3.605769230769222,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,gpt-4o,US,623,-0.04253611556982348,-0.05537720706260027,-0.03087881219903693,-4.253611556982348,-5.537720706260027,-3.087881219903693,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,gpt-5.1,US,624,0.052884615384615544,0.03723958333333333,0.06772836538461528,5.288461538461554,3.7239583333333335,6.7728365384615286,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,grok-4.3,US,624,0.005608974358974327,-0.007211538461538466,0.016446314102564086,0.5608974358974327,-0.7211538461538466,1.6446314102564086,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,jais-8b,MENA,624,0.040865384615384644,0.030448717948717948,0.05250400641025636,4.086538461538464,3.0448717948717947,5.250400641025636,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,mistral-large-2512,EU,624,0,0,0,0,0,0,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
model,qwen3-max,CN,624,0.004807692307692204,-0.013621794871794976,0.02403846153846148,0.4807692307692204,-1.3621794871794977,2.403846153846148,"paired boundary-minus-regular difference within issue x model x language. The block holds the ISSUE and the MODEL fixed; it does NOT hold prompt content fixed -- the regular and boundary variants are different realized prompts about the same issue, which is the exposure being varied. A causal reading requires the generated regular and boundary variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation.",canon_004
