jurisdiction,foundation,field,estimate,conf_low,conf_high,n,n_issues,scale,sample,contrast,estimable
CN,Care / harm,care_harm,0.5325994919559696,0.4746771675414058,0.5890026020930497,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Care / harm,care_harm,0.5200945626477541,0.4624901378590188,0.570508590281287,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Care / harm,care_harm,0.504258943781942,0.4405787070801365,0.566266597000246,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Care / harm,care_harm,0.4385532264693794,0.38643665339992056,0.49571304325691107,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Care / harm,care_harm,0.5961538461538461,0.5352163461538462,0.6506410256410257,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Fairness / cheating,fairness_cheating,0.6342082980524979,0.5878234826277143,0.6851574652293071,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Fairness / cheating,fairness_cheating,0.58274231678487,0.5339478048155272,0.6275566382233483,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Fairness / cheating,fairness_cheating,0.5826235093696763,0.5314557590033618,0.6307826086956522,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Fairness / cheating,fairness_cheating,0.5914508836826963,0.5480358445674057,0.6364422765218369,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Fairness / cheating,fairness_cheating,0.7051282051282052,0.6618189102564103,0.7468349358974359,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Liberty / oppression,liberty_oppression,0.49195596951735815,0.4403846153846153,0.5406538139145013,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Liberty / oppression,liberty_oppression,0.42907801418439717,0.3816213475431933,0.47097922095420125,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Liberty / oppression,liberty_oppression,0.514480408858603,0.46254014795317905,0.5614363967562404,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Liberty / oppression,liberty_oppression,0.4475955610357583,0.40204956137542425,0.49675911988576493,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Liberty / oppression,liberty_oppression,0.6121794871794872,0.5656650641025641,0.6602564102564102,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Authority / subversion,authority_subversion,0.1642675698560542,0.12749774727577537,0.2011888382162518,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Authority / subversion,authority_subversion,0.1111111111111111,0.08642397939454205,0.14033070589208874,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Authority / subversion,authority_subversion,0.1465076660988075,0.10843373493975904,0.18984865807299853,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Authority / subversion,authority_subversion,0.13974517057131114,0.10822739406072739,0.1709156937553926,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Authority / subversion,authority_subversion,0.16826923076923078,0.1312900641025641,0.21153846153846154,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Loyalty / betrayal,loyalty_betrayal,0.12870448772226925,0.09579540198806026,0.16239610203496704,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Loyalty / betrayal,loyalty_betrayal,0.06796690307328605,0.049749104459747714,0.088815217334015,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Loyalty / betrayal,loyalty_betrayal,0.09028960817717206,0.06543624161073826,0.11676616077903242,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Loyalty / betrayal,loyalty_betrayal,0.07151664611590629,0.049840613011797576,0.0950074878010293,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Loyalty / betrayal,loyalty_betrayal,0.08974358974358974,0.0641025641025641,0.11698717948717949,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Sanctity / degradation,sanctity_degradation,0.03217612193056731,0.01932196837068161,0.044694660064335534,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Sanctity / degradation,sanctity_degradation,0.03664302600472813,0.025189287659688177,0.0489422968294969,1692,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Sanctity / degradation,sanctity_degradation,0.030664395229982964,0.01666459369817579,0.048127755215384066,587,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Sanctity / degradation,sanctity_degradation,0.02836004932182491,0.016837318616523808,0.04192405043197561,2433,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Sanctity / degradation,sanctity_degradation,0.02403846153846154,0.01282051282051282,0.03685897435897436,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
