model,jurisdiction,language,n,events,raw_rate,not_generated,estimate,conf_low,conf_high,estimable,note,language_label,spec,scale,contrast,estimand_type,uncertainty
allam-7b,MENA,en,2496,426,0.17067307692307712,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
allam-7b,MENA,zh,2496,802,0.3213141025641029,FALSE,0.1517754511062859,0.12905933901363595,0.1748077253466252,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
allam-7b,MENA,ar,2496,416,0.16666666666666682,FALSE,-0.003973540727633423,-0.024112926239931644,0.015528453234537486,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
allam-7b,MENA,ru,2496,1717,0.6879006410256402,FALSE,0.5282713310665826,0.5043441211175796,0.5517116591933673,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
allam-7b,MENA,hi,2495,1957,0.7843687374749505,FALSE,0.6256031680910943,0.6006519195924344,0.6469654578980111,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
claude-opus-4.5,US,en,2496,100,0.04006410256410285,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
claude-opus-4.5,US,zh,2496,79,0.03165064102564096,FALSE,-0.007530522121772819,-0.016519335399311903,8.348696079962518e-4,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
claude-opus-4.5,US,ar,2496,52,0.02083333333333332,FALSE,-0.01714941681119215,-0.027054896030912937,-0.008933962730223094,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
claude-opus-4.5,US,ru,2496,59,0.02363782051282048,FALSE,-0.014663450718926534,-0.02424268722310968,-0.006653814342604621,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
claude-opus-4.5,US,hi,2496,201,0.08052884615384671,FALSE,0.036600868074302406,0.025079564413891274,0.049549618100401614,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
deepseek-chat-v3.1,CN,en,2496,124,0.04967948717948734,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
deepseek-chat-v3.1,CN,zh,2496,407,0.16306089743589713,FALSE,0.11197029127015173,0.09482583989663351,0.12954440811322077,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
deepseek-chat-v3.1,CN,ar,2496,260,0.10416666666666671,FALSE,0.05315931831157341,0.03924649293100109,0.06889685692000519,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
deepseek-chat-v3.1,CN,ru,2496,229,0.09174679487179448,FALSE,0.040920891554733586,0.028674407979062042,0.054573168276678435,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
deepseek-chat-v3.1,CN,hi,2494,174,0.06976744186046543,FALSE,0.0193847629552863,0.007715623725899646,0.031568588424254175,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
falcon3-10b,MENA,en,2496,156,0.0625,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
falcon3-10b,MENA,zh,2489,75,0.03013258336681363,FALSE,-0.030750404437375284,-0.042132678904776406,-0.019854278792276924,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
falcon3-10b,MENA,ar,2496,757,0.3032852564102572,FALSE,0.2413347905991289,0.22161281321993312,0.26264256521283896,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
falcon3-10b,MENA,ru,2496,174,0.06971153846153712,FALSE,0.006918142803185083,-0.006518584600713375,0.01979536705982356,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
falcon3-10b,MENA,hi,2495,786,0.3150300601202394,FALSE,0.25358151075850305,0.2317624151865207,0.2755375615397719,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-4o,US,en,2495,55,0.02204408817635203,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-4o,US,zh,2496,28,0.011217948717948557,FALSE,-0.010474250893645266,-0.017249461653914538,-0.004497336892785191,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-4o,US,ar,2496,41,0.016426282051282114,FALSE,-0.005483370374523625,-0.011693877444445382,1.205859188837172e-4,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-4o,US,ru,2496,60,0.024038461538462317,FALSE,0.001878448185577808,-0.004418260721241422,0.007721773899392183,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-4o,US,hi,2496,27,0.010817307692307484,FALSE,-0.010854053537182579,-0.017571296041580576,-0.005179650179947243,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-5.1,US,en,2496,104,0.041666666666665984,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
