n,events,rate,scope,outcome,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,sample,canonical_run_id
137186,11475,0.08364556150044465,overall,original_nonengagement,8.364556150044464,NA,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,5318,0.42615594198253065,model,original_nonengagement,42.61559419825306,allam-7b,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12480,491,0.03934294871794872,model,original_nonengagement,3.934294871794872,claude-opus-4.5,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12478,1194,0.09568841160442379,model,original_nonengagement,9.568841160442378,deepseek-chat-v3.1,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12472,1948,0.15618986529826812,model,original_nonengagement,15.618986529826811,falcon3-10b,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,211,0.01690840612228544,model,original_nonengagement,1.690840612228544,gpt-4o,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12480,360,0.028846153846153848,model,original_nonengagement,2.8846153846153846,gpt-5.1,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12480,180,0.014423076923076924,model,original_nonengagement,1.4423076923076923,grok-4.3,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,871,0.06979725939578492,model,original_nonengagement,6.979725939578492,jais-8b,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,0,0,model,original_nonengagement,0,mistral-large-2512,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,457,0.036621524160589794,model,original_nonengagement,3.6621524160589796,qwen3-max,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12401,445,0.03588420288686396,model,original_nonengagement,3.5884202886863963,sarvam-30b,NA,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
27449,1411,0.05140442274764108,language,original_nonengagement,5.140442274764108,NA,en,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
27447,1774,0.06463365759463693,language,original_nonengagement,6.463365759463693,NA,zh,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
27444,2050,0.07469756595248506,language,original_nonengagement,7.469756595248506,NA,ar,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
27437,2495,0.09093559791522397,language,original_nonengagement,9.093559791522397,NA,ru,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
27409,3745,0.13663395235141743,language,original_nonengagement,13.663395235141742,NA,hi,NA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
24957,1651,0.06615378450935609,developer jurisdiction,original_nonengagement,6.6153784509356095,NA,NA,CN,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
37430,8137,0.21739246593641465,developer jurisdiction,original_nonengagement,21.739246593641465,NA,NA,MENA,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12401,445,0.03588420288686396,developer jurisdiction,original_nonengagement,3.5884202886863963,NA,NA,India,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
49919,1242,0.02488030609587532,developer jurisdiction,original_nonengagement,2.4880306095875317,NA,NA,US,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
12479,0,0,developer jurisdiction,original_nonengagement,0,NA,NA,EU,NA,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
68552,6064,0.08845839654568795,prompt tier,original_nonengagement,8.845839654568795,NA,NA,NA,regular,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
68634,5411,0.07883847655680858,prompt tier,original_nonengagement,7.883847655680857,NA,NA,NA,boundary,NA,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17589,1481,0.08420035249303542,topic domain,original_nonengagement,8.420035249303542,NA,NA,NA,NA,civil_rights_liberties,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17589,969,0.05509125021320143,topic domain,original_nonengagement,5.509125021320143,NA,NA,NA,NA,economic_policy,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
9673,492,0.050863227540576865,topic domain,original_nonengagement,5.0863227540576865,NA,NA,NA,NA,environment_energy,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17581,1626,0.09248620670041523,topic domain,original_nonengagement,9.248620670041523,NA,NA,NA,NA,governance_democracy,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17587,1148,0.06527548757605049,topic domain,original_nonengagement,6.527548757605049,NA,NA,NA,NA,migration_nationalism,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
14076,1176,0.08354646206308611,topic domain,original_nonengagement,8.35464620630861,NA,NA,NA,NA,religion_state,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17593,2315,0.1315864264195987,topic domain,original_nonengagement,13.158642641959869,NA,NA,NA,NA,security_conflict,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
7914,609,0.07695223654283548,topic domain,original_nonengagement,7.695223654283548,NA,NA,NA,NA,social_moral,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
17584,1659,0.09434713375796179,topic domain,original_nonengagement,9.434713375796179,NA,NA,NA,NA,territorial_sovereignty,NA,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
22867,2600,0.1137009664582149,issue region,original_nonengagement,11.370096645821489,NA,NA,NA,NA,NA,Arab,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
22859,2272,0.099391924406142,issue region,original_nonengagement,9.9391924406142,NA,NA,NA,NA,NA,China,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
22856,1741,0.0761725586279314,issue region,original_nonengagement,7.61725586279314,NA,NA,NA,NA,NA,Europe,original Gemini judge-coded non-engagement; sensitivity only,original eleven-model corpus,canon_019
