kind,path,sha256,detail,canonical_run_id,git_sha,git_branch,git_dirty,generated_at,estimates_inherited_from,estimates_source_git_sha,git_sha_at_start,git_sha_at_end,tree_moved_during_build
output,pipeline/releases/canon_024/estimates/00_category_summary.csv,ed622b0b8f78e80916ea30a5fa4293f87f6b633e49ee5882c6154ece86cfc5a4,1132,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/00_language_summary.csv,50113dd1c4415de78c49838b80054bf26d06bad56ee9e9a20497e1dc430f8479,630,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/00_model_summary.csv,fe98d577589fa1a199efb6124b08ed1b3cf1587b38095ac6f8b1cb8402ddf5a9,1757,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/a01_outcome_rates_by_model_language.csv,3ad75ba34eb268641fa1539dacdadb3e2cdcb4abecd75441c490cc5b5db52244,16262,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/a02_task_behavior_composition.csv,f02fc59f2e047eff1e4117f73fa478690ee5f897c1265e8d75e3995f3856379b,50031,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/a03_refusal_type_composition.csv,79569d74a38f73c7ef8f954abd62ebb313a8caab6565a277390971b076aab816,24165,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/a04_deepseek_paired_outcomes.csv,6f7a83c8ddb547b28a3d325978a401f35151bbf342d34b42d7ea080bdf0850b4,711,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/c00_timings.csv,86e20e82ec43a12c0787d169347c3aa6791ae175565215956c46071b1dcd3ec7,224,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/c02_home_descriptive_english.csv,e362292d6c86c1e8c2ea1cca65818b771141f491981f5a3f3d9eead1d891bb45,10118,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
output,pipeline/releases/canon_024/estimates/c03_home_descriptive_all_languages_supplement.csv,e6bc8e705debdb64e6410b9691eb4769d5c7291cc209d7ac40fa4723e1d2c219,23581,canon_024,41543ade5334a36b6e9a33219cd5004e04507ac6,audit/inference-pipeline-review,TRUE,2026-09-04T13:36:12,canon_021,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,41543ade5334a36b6e9a33219cd5004e04507ac6,FALSE
