kind,path,sha256,detail,canonical_run_id,git_sha,git_branch,git_dirty,generated_at
output,pipeline/releases/canon_006/estimates/a01_engagement_composition.csv,c5949da500d425c3d33fbe208bb89eaa4a32334d134d36a51de58c122a08506f,66648,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/a02_refusal_rates_by_cell.csv,454187afe0a09dd0e39aac59bd17eec6156852ab33b070afd2aaa84534f99601,20974,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/a03_justification_composition.csv,82df91c3a5571ea2bb510f8a08255dcb395db00d1dfd3feec4b246d51df17402,79320,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/a04_deepseek_language_paired.csv,fbd853f7ecfcd25f410983dcd1a0e0d7864575b4dc4eb47844766a0bd3993c8d,4519,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c00_timings.csv,1714ded03e2d9aaf9e4c21b801f2b0369ca5f8cb8bc10622c1c6da30ecd57b5a,586,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c02_home_descriptive_english.csv,e5a9f5d62ed7189fdfccdb614fa073abcaa11a889f8601083c271d5f38460574,24813,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c03_home_descriptive_all_languages_supplement.csv,fdde84de1ac220311351df825003e487ff67e2ad212a724a3ad5ba0b4b8e9452,26626,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c04_home_standardized.csv,06eb93968be1e7c23ab002eb5b758c0ff65952f65179605e568dc746b2b74302,22818,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c05_home_by_model.csv,60809b5f75b03fa7a0a94858d2cb7d7b9f811b9704098fe689d5e21dcf9cc88a,7207,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c06_home_overlap.csv,d67bdb20982a6cfb32b9bc97ae5a14ec7d397f877eca87d16c2ce91445c74c63,21053,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
output,pipeline/releases/canon_006/estimates/c06b_common_support_diagnostics.csv,8bbc05fdcccdb54ef2943b32212fb560f68f83b42d5c41367e9198b8ad521332,604,canon_006,8fbe549367903f8d6ec340c6cbc759ff6c65b704,audit/inference-pipeline-review,FALSE,2026-08-07T17:49:21
